building_name,building_address,building_stationText,building_AFText,room_floor,room_layout,room_url
toggle早稲田,東京都文京区関口1丁目,東京メトロ東西線 早稲田駅 徒歩10分;東京メトロ有楽町線 護国寺駅 徒歩16分,新築 / 4階建,4階,1LDK,https://www.homes.co.jp/chintai/room/6cf257e76e199580a4a6a6c063d4e4d327705433/
toggle早稲田,東京都文京区関口1丁目,東京メトロ東西線 早稲田駅 徒歩10分;東京メトロ有楽町線 護国寺駅 徒歩16分,新築 / 4階建,3階,ワンルーム,https://www.homes.co.jp/chintai/room/805e35ec28d2c2b6d72b903b5a280488d9cceb31/
toggle早稲田,東京都文京区関口1丁目,東京メトロ東西線 早稲田駅 徒歩10分;東京メトロ有楽町線 護国寺駅 徒歩16分,新築 / 4階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/88d9fcfe2871118de6fbdd96aa300739933992d7/
ブランカ,東京都文京区本駒込3丁目24-6,東京メトロ南北線 本駒込駅 徒歩7分;都営三田線 白山駅 徒歩14分;東京地下鉄千代田線 千駄木 徒歩16分,新築 / 3階建,1階,ワンルーム,https://www.homes.co.jp/chintai/room/b864e2a717a66b076df74740a38ce6bf2adc4727/
グランメゾン千石,東京都文京区千石4丁目,都営三田線 千石駅 徒歩4分;JR山手線 巣鴨駅 徒歩11分;JR山手線 駒込駅 徒歩18分,3年 / 3階建,2階,1K,https://www.homes.co.jp/chintai/room/c9b2bc5ed7f1a4440d39b999400408dd1f9a67d0/
シエーナルーチェ和,東京都文京区向丘1丁目10-12,東京メトロ南北線 本駒込駅 徒歩3分;都営三田線 白山駅 徒歩5分,2年 / 3階建,3階,1K,https://www.homes.co.jp/chintai/room/1a5029848c9e88e57afb57f39f605ed9d88ae2e8/
都営三田線 千石駅 徒歩4分,東京都文京区千石4丁目,都営三田線 千石駅 徒歩4分;JR山手線 巣鴨駅 徒歩11分;JR山手線 駒込駅 徒歩18分,3年 / 3階建,2階,1K,https://www.homes.co.jp/chintai/room/3e7634654827700e1b4f9c8b516d31c556b6df77/
スカイコートルアナ文京本駒込,東京都文京区本駒込5丁目59-3,JR山手線 駒込駅 徒歩7分;東京メトロ南北線 駒込駅 徒歩8分,新築 / 5階建,4階,1LDK,https://www.homes.co.jp/chintai/room/1ee514815f1337f14e2b9edf6eb5b8622fd70eac/
スカイコートルアナ文京本駒込,東京都文京区本駒込5丁目59-3,JR山手線 駒込駅 徒歩7分;東京メトロ南北線 駒込駅 徒歩8分,新築 / 5階建,3階,1LDK,https://www.homes.co.jp/chintai/room/3fe059b2abebe4a85cec5916ff2c03df71962fb4/
スカイコートルアナ文京本駒込,東京都文京区本駒込5丁目59-3,JR山手線 駒込駅 徒歩7分;東京メトロ南北線 駒込駅 徒歩8分,新築 / 5階建,1階,1K,https://www.homes.co.jp/chintai/room/79dd2225b8ff65cb0c8cc02864a9ffb72ff07a84/
ロゼ・プランドール,東京都文京区白山1丁目14-11,都営三田線 白山駅 徒歩7分;東京メトロ南北線 東大前駅 徒歩11分,4年 / 4階建,1階,1K,https://www.homes.co.jp/chintai/room/305959d369cb899226da42587da0efe1eb558c11/
ウェルスクエアイズム文京千石,東京都文京区千石3丁目34-8,都営三田線 千石駅 徒歩8分;JR山手線 巣鴨駅 徒歩14分;東京メトロ丸ノ内線 新大塚駅 徒歩15分,4年 / 4階建,3階,1K,https://www.homes.co.jp/chintai/room/8c425b3b6e181874e59f581c50bab40e13dc76ab/
東京メトロ丸ノ内線 新大塚駅 徒歩5分,東京都文京区大塚5丁目15-22,東京メトロ丸ノ内線 新大塚駅 徒歩5分;東京メトロ有楽町線 護国寺駅 徒歩8分,新築 / 5階建,5階,1LDK,https://www.homes.co.jp/chintai/room/015289d88c94c2ba77cdcb51f4385b05d3f7529c/
東京メトロ丸ノ内線 新大塚駅 徒歩5分,東京都文京区大塚5丁目15-22,東京メトロ丸ノ内線 新大塚駅 徒歩5分;東京メトロ有楽町線 護国寺駅 徒歩8分,新築 / 5階建,4階,ワンルーム,https://www.homes.co.jp/chintai/room/701c2c4d089132e564a51333ccf09fb1c22daf3b/
東京メトロ丸ノ内線 新大塚駅 徒歩5分,東京都文京区大塚5丁目15-22,東京メトロ丸ノ内線 新大塚駅 徒歩5分;東京メトロ有楽町線 護国寺駅 徒歩8分,新築 / 5階建,4階,ワンルーム,https://www.homes.co.jp/chintai/room/6be5e9c3ea3e2420c0c90f40a2332c0ed4c6c7a9/
コンシェリア後楽園 ＨＩＬＬＴＯＰ ＳＱＵＡＲＥ,東京都文京区小石川4丁目3番5,東京メトロ丸ノ内線 茗荷谷駅 徒歩9分;東京メトロ南北線 後楽園駅 徒歩13分;都営三田線 春日駅 徒歩15分,3年 / 15階建,6階,1K,https://www.homes.co.jp/chintai/room/a9134f381f6edfb232a6db0055e15555e25c8828/
