room_price,room_commonFee,room_initialFeeText,room_initialOtherFeeText,building_year,room_layoutText,room_facing,room_area,room_detailText,building_structure,room_parking,room_tatalRooms,room_contract,room_period,room_renewalFeeText,room_otherFeeText,room_guarantyText,room_insuranceText,room_manage,room_state,room_move-in,room_lifullID,room_trans,room_begin,room_update,room_url
26.5万円,"15,000円",1ヶ月/1ヶ月,-/-,2019年7月(築5年),1LDK,北西,55.92㎡,事務所不可、ペット不可、即入居可、システムキッチン、カウンターキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、床暖房、ウォークインクローゼット、クローゼット、シューズボックス、シューズインクローゼット、CS対応、BS対応、フローリング、バルコニー、室内洗濯機置場、エレベーター、宅配ボックス、駐輪場あり、分譲賃貸、住まい探し特典あり、ジオ文京千石は東京都文京区千石4丁目に所在し、都営三田線の千石駅が利用できる賃貸物件です。当店であれば初期費用をクレジットカードで決済可能です。（条件付）遠方の方やご来店が難しい方はリモートにてお部屋のご紹介や内見も可能です。,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：39,600円、室内清掃費用：103,400円、T-SuportClub会費（初回のみ）：19,800円",加入要保証会社利用料：詳細はお問い合わせくださいませ,要,-,空家,即時,0140535-0022110,仲介,2024/02/06,2024/03/20,https://www.homes.co.jp/chintai/room/37be5be9b4b4b4955771d92d08b1c9941454169f/
14.5万円,"5,000円",1ヶ月/無,-/-,1989年5月(築35年),"2DK ( 洋室 6帖
ダイニングキッチン 6帖
和室 6畳 )",北西,50.8㎡,角部屋、二人入居可、家賃保証付き、保証人不要、ガスコンロ設置済、コンロ三口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、温水洗浄便座、エアコン、クローゼット、シューズボックス、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、ごみ出し24時間OK、駐輪場あり、初期費用カード決済可、住まい探し特典あり、GREEN KAGOMACHIは東京都文京区本駒込6丁目に所在し、都営三田線の千石駅が利用できる賃貸物件です。落ち着きのある和室とお掃除のしやすいフローリングの両方が備わった物件になります。当店であれば初期費用をクレジットカードで決済可能です。（条件付）遠方の方やご来店が難しい方はリモートにてお部屋のご紹介や内見も可能です。,RC(鉄筋コンクリート),空無,4戸,-,2年間,新賃料の1ヶ月分,安心入居サポート（月額）：880円,加入要保証会社利用料：初回保証料：50％～　＋700円/月,要,-,空家,相談（2024年3月下旬予定）,0140535-0022630,仲介,2024/03/06,2024/03/20,https://www.homes.co.jp/chintai/room/b667a8b9316ea4516bf8f2c8392366d0992de724/
6.4万円,"5,000円",1ヶ月/1ヶ月,-/1ヶ月,1986年9月(築38年),1K,北東,18.95㎡,オートロック、エアコン、シューズボックス、バルコニー、室内洗濯機置場、エレベーター、分譲賃貸、住まい探し特典あり,RC(鉄筋コンクリート),-,44戸,-,2年間,新賃料の1ヶ月分,"鍵交換費用：25,300円、入居者サポート料：18,700円",加入要保証会社利用料：　　当社指定の保証会社をご利用頂くことが契約条件となります。,要,-,-,相談,3701129-0323082,仲介,2024/03/08,2024/03/20,https://www.homes.co.jp/chintai/room/1de12320c3b1c77a9c57aa823b646d0d7500bad7/
6.3万円,-,無/無,-/-,1988年9月(築36年),"1K ( 洋室 6帖
キッチン )",北,16.56㎡,楽器不可、事務所不可、二人入居不可、単身者限定、ルームシェア不可、専用バス、専用トイレ、シャワー、エアコン、公営水道、都市ガス、下水、洗濯機置場あり、住まい探し特典あり、オンライン内見対応可　オーナー様から、直接、ご依頼を受けた物件です。お電話頂けると、お話が早く進みます。Bフレッツ導入済　石油系暖房器具不可　更新料の他に、更新手数料(新賃料の0.55ヶ月分)要,木造,無,-,-,2年間,新賃料の1ヶ月分,"ルームクリーニング費用：38,500円",加入要保証会社：エポスカード保証会社利用料：　初回保証料として賃料等の50％・月次保証料として毎月　賃料等の1％,要,-,空家,2024年03月 下旬,0100459-0156862,一般媒介★,2024/03/19,2024/03/21,https://www.homes.co.jp/chintai/room/50b8e669ebcbd592cf574f05a2af4b1034915360/
6.5万円,"3,000円",1ヶ月/1ヶ月,-/-,1984年8月(築40年),"1K ( 洋室 4帖
キッチン 4.2帖 )",北東,22.68㎡,角部屋、楽器不可、二人入居不可、ルームシェア不可、ガスコンロ設置済、コンロ二口、専用バス、専用トイレ、シャワー、防犯カメラ、エアコン、インターネット対応、公営水道、都市ガス、下水、フローリング、バルコニー、洗濯機置場あり、エレベーター、バイク置き場あり、駐輪場あり、住まい探し特典あり、オンライン内見対応可　オーナー様から、直接、ご依頼を受けた物件です。お電話頂けると、お話が早く進みます。Bフレッツ導入済　石油系暖房器具不可,SRC(鉄骨鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,-,加入要保証会社：エポスカード保証会社利用料：　初回保証料として賃料等の50％・月次保証料として毎月　賃料等の1％,要,管理員：巡回,賃貸中,2024年04月 中旬,0100459-0156804,一般媒介★,2024/03/18,2024/03/21,https://www.homes.co.jp/chintai/room/d68b6c73808dbd81c7fc1d00444084d4e51a4eb7/
7.2万円,"3,000円",1ヶ月/1ヶ月,-/-,1984年8月(築40年),"1DK ( 洋室 6帖
ダイニングキッチン 6帖 )",北東,28.8㎡,角部屋、楽器不可、二人入居不可、ルームシェア不可、ガスコンロ設置済、コンロ二口、専用バス、専用トイレ、シャワー、防犯カメラ、エアコン、インターネット対応、公営水道、都市ガス、下水、フローリング、バルコニー、洗濯機置場あり、エレベーター、バイク置き場あり、駐輪場あり、住まい探し特典あり、オンライン内見対応可　オーナー様から、直接、ご依頼を受けた物件です。お電話頂けると、お話が早く進みます。Bフレッツ導入済　石油系暖房器具不可,SRC(鉄骨鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,-,加入要保証会社：エポスカード保証会社利用料：　初回保証料として賃料等の50％・月次保証料として毎月　賃料等の1％,要,管理員：巡回,賃貸中,2024年04月 中旬,0100459-0156803,一般媒介★,2024/03/18,2024/03/21,https://www.homes.co.jp/chintai/room/599be1418dddddfa3fca97e6cca5eee006a16476/
9.2万円,"5,000円",1ヶ月/1ヶ月,-/-,1981年7月(築43年),ワンルーム ( 洋室 12帖 ),北東,29.65㎡,楽器不可、ペット相談、保証人不要、専用バス、専用トイレ、バス・トイレ別、シャワー、防犯カメラ、TVモニタ付インターホン、エアコン、全居室収納、クローゼット、シューズボックス、インターネット対応、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、住まい探し特典あり、ペット飼育時敷金1ヶ月積み増し償却　解約予告1ヶ月前,SRC(鉄骨鉄筋コンクリート),-,53戸,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円",加入要保証会社利用料：　初回保証料：総賃料の50％　年間保証料：1万円／年,要,-,居住中,2024年05月 中旬,0148963-0048839,仲介,2024/03/19,2024/03/21,https://www.homes.co.jp/chintai/room/24e72c9b124683668ad0c6f652371e277a437455/
6.4万円,"2,000円",1ヶ月/無,-/-,1986年8月(築38年),"1K ( 洋室 6帖(1階)
キッチン 2帖(1階) )",南西,18㎡,楽器不可、二人入居不可、ペット不可、ルームシェア不可、即入居可、専用バス、専用トイレ、シャワー、エアコン、クローゼット、公営水道、都市ガス、下水、フローリング、ロフト付き、洗濯機置場あり、初期費用カード決済可、契約時の初期費用がクレジットカードでお支払可能です♪このお部屋に関する詳細は【（株）CLCコーポレーション日暮里店】へ,木造,-,-,-,2年間,新賃料の1ヶ月分,-,利用可保証会社利用料：総家賃の50％～,要,-,空家,即時,0108926-0107657,一般媒介,2024/03/14,2024/03/20,https://www.homes.co.jp/chintai/room/21b6a3ab9f6f8eafce75d498bed418978b428421/
6.4万円,"2,000円",6.4万円/無,-/-,1986年8月(築38年),"1K ( キッチン 1.2帖
洋室 6帖 )",南西,14.58㎡,即入居可、シャワー、エアコン、光ファイバー、都市ガス、バルコニー、ロフト付き、洗濯機置場あり、駐輪場あり、住まい探し特典あり,木造,無,10戸,-,2年間,"64,000円","仲介手数料：35,200円、消毒料：16,500円、入居安心サービス料：16,500円",加入要保証会社：日本セーフティー株式会社保証会社利用料：家賃保証会社 初回保証料50％,要,-,空家,即時,0107918-0025946,一般媒介,2023/09/24,2024/03/20,https://www.homes.co.jp/chintai/room/ba7c931a9709716e528f5798b927c7b32e94ed0b/
15万円,"10,000円",1ヶ月/1ヶ月,-/-,1993年3月(築32年),"1LDK ( リビングダイニングキッチン 9.4帖(2階)
洋室 6.2帖(2階) )",南西,40㎡,角部屋、二人入居可、保証人不要、IHコンロ、コンロ二口、システムキッチン、カウンターキッチン、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、TVモニタ付インターホン、エアコン、ウォークインクローゼット、クローゼット、シューズボックス、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、宅配ボックス、駐輪場あり、リフォーム物件、新居にかかわることは我々にお尋ねください。入居日などからお受けいたします。急なお引越しにもうれしい、すぐに入居ができる空き部屋となっております。コチラの物件は、TVインターホン付きとなっているので安心です。掃除簡単、サッと拭き取るだけで綺麗になるIHキッチンです。照明付きのお部屋は、高いニーズがあり注目されています。全居室フローリングが魅力的な物件となっています。,鉄骨造,無,-,-,2年間,新賃料の1ヶ月分,"コンシェルジュ24：16,500円",加入要保証会社：エポスカード保証会社利用料：初回総賃料の50％＋月次1％,要,-,空家,相談,0138830-0003976,一般媒介,2024/01/06,2024/03/21,https://www.homes.co.jp/chintai/room/65fe415cd814a0675420a2d3a110dffdd4e8cff3/
